reclon,reclat
-123.2,37.744
-122.264,37.91
-123.548,37.993
-123.453,37.798
-123.413,38.314
-122.753,37.348
-123.05,37.544
-123.997,37.302
-123.218,37.817
-123.418,37.866
-120.233,34.217
-120.256,34.244
-119.89,34.203
-119.863,34.183
-119.73,34.201
-120.112,34.142
-120.138,34.136
-120.569,34.053
-120.561,34.233
-120.754,34.122
-120.634,34.227
-120.784,34.624
-120.833,35.397
-121.158,34.074
-120.603,34.429
-120.302,34.206
-121.833,34.833
-120.44,34.232
-120.509,34.099
-120.508,34.078
-120.591,34.077
-120.6,34.116
-120.594,34.133
-120.47,34.237
-120.482,33.962
-120.44,33.966
-120.461,33.952
-119.639,34.324
-120.484,33.974
-120.13,33.96
-120.228,34.391
-120.028,34.15
-120.728,34.162
-120.623,34.278
-120.441,34.174
-120.33,34.367
-120.578,34.219
-120.575,34.214
-120.556,34.251
-120.399,34.267
-120.396,34.27
-120.44,34.195
-120.587,34.12
-120.536,34.021
-121.004,33.705
-120.564,33.439
-120.384,33.227
-120.232,32.944
-120.263,32.924
-119.163,32.121
-118.585,31.686
-118.817,31.659
-114.32,25.884
-114.095,24.913
-114.335,24.513
-113.03,24.198
-113.16,24.159
-112.973,23.503
-112.842,23.568
-113.221,23.674
-113.527,24.078
-113.256,24.203
-113.332,24.532
-113.101,23.927
-112.74,24.242
-112.761,23.633
-111.257,21.894
-108.295,20.357
-123.403,37.895
-123.47,38.09
-123.351,38.372
-123.289,38.332
-123.504,38.372
-123.542,38.373
-123.791,38.773
-123.907,38.978
-124.258,39.155
-124.195,39.307
-124,39.517
-123.934,39.456
-123.937,39.525
-123.857,39.718
-124.129,39.715
-124.1,39.686
-123.861,39.811
-124.285,40.119
-124.191,40.128
-124.425,40.255
-124.557,40.379
-124.597,40.565
-124.55,40.668
-124.498,40.733
-123.864,40.559
-124.342,40.759
-124.255,41.914
-124.533,42.071
-124.636,41.965
-124.645,42.056
-124.535,42.14
-124.471,42.056
-124.395,41.78
-124.425,41.768
-124.466,41.834
-124.487,41.836
-124.471,41.92
-124.604,42.316
-124.697,42.494
-124.637,42.549
-124.686,42.463
-124.715,43.061
-124.219,43.378
-123.686,44.045
-124.505,44.101
-124.847,42.829
-125.4,42.547
-124.491,42.071
-124.459,41.989
-124.323,41.908
-124.437,41.995
-124.436,42.067
