reclon,reclat
-122.979,37.573
-122.943,37.575
-121.351,37.038
-123.013,37.649
-123.476,38.015
-123.447,38.07
-123.446,38.214
-123.255,38.12
-123.418,38.128
-123.521,38.201
-123.534,38.255
-123.445,38.207
-122.97,38.43
-123.396,38.033
-123.486,38.02
-123.422,37.919
-122.943,37.651
-123.021,37.825
-123.095,37.617
-124.049,37.819
-123.616,37.696
-123.072,37.696
-123.05,37.688
-122.993,37.541
-123.296,37.6
-122.999,37.355
-123.434,37.996
-123.231,37.585
-122.657,37.364
-124.873,37.562
-124.108,37.347
-122.919,37.427
-122.835,37.545
-122.956,37.458
-122.879,37.473
-122.63,37.114
-122.95,37.629
-122.813,37.521
-122.91,37.5
-123.066,37.648
-123.263,38.071
-123.515,38.345
-125.231,40.509
-125.473,40.512
-125.981,40.602
-125.699,41.082
-125.219,41.337
-124.415,40.721
-124.128,40.458
-124.46,40.625
-124.488,40.537
-124.586,40.476
-124.634,40.446
-124.512,40.358
-124.533,40.389
-124.468,40.388
-124.511,40.314
-124.44,40.393
-124.414,40.328
-124.546,40.701
-124.797,40.596
-124.413,40.78
-124.474,41.264
-124.646,42.009
-124.898,42.177
-124.666,42.163
-124.579,42.012
-124.559,42.07
-124.114,42.042
-124.67,41.857
-124.41,41.067
-124.635,39.991
-124.469,39.653
-124.244,39.409
-123.969,39.208
-123.496,38.184
-123.486,38.209
-123.447,38.284
-123.389,38.288
-123.244,38.209
-123.104,38.218
-123.354,38.099
-123.082,38.2
-123.308,38.083
-123.202,38.203
-123.163,38.125
-123.169,38.107
-123.128,38.08
-123.172,38.317
-123.215,37.956
-123.423,37.95
-123.692,38.47
-123.45,38.665
-123.194,38.05
-123.284,37.754
-122.86,37.438
-122.063,36.818
-122.058,36.694
-120.336,33.102
-119.135,32.753
-119.826,32.512
-118.795,31.136
-117.533,30.478
-118.342,30.253
-124.216,31.295
-117.778,29.276
-117.534,28.9
-116.56,28.658
-117.478,28.123
-116.016,27.206
-114.639,25.87
-114.571,25.775
-114.162,25.604
-113.831,25.403
-114.08,25.401
-113.783,25.18
-114.165,25.368
-113.41,24.966
-107.769,23.624
-112.656,24.675
-112.451,24.28
-112.211,24.17
-112.202,24.173
-112.362,24.048
-112.435,24.235
-112.363,24.206
-112.336,24.232
-112.272,23.523
-112.389,23.505
-112.427,23.507
-112.728,23.341
-112.472,23.4
-112.477,23.312
-111.342,23.304
-111.234,23.262
-111.046,23.211
-110.769,23.196
-119.226,21.364
-110.89,23.072
-110.929,23.089
-110.929,23.089
-110.91,23.051
-110.872,23.055
-111.127,23.262
-110.948,23.047
-110.877,22.935
-110.874,22.899
-110.926,23.102
-110.535,22.962
-111.673,24.093
-110.833,22.866
-110.821,22.847
-110.804,22.839
-110.791,22.816
-110.978,22.786
-110.322,22.787
-110.698,22.952
-110.342,23.315
-112.135,22.915
-110.973,22.615
-110.356,22.711
-110.817,22.655
-110.804,22.649
-110.884,22.646
-110.787,22.678
-110.769,22.646
-109.574,22.403
-110.622,22.443
-110.829,22.627
-110.666,22.94
-110.569,23.032
-110.566,22.921
-110.945,22.897
-110.69,23.01
-111.091,23.158
-110.777,23.157
-110.963,23.13
-110.933,23.142
-111.002,23.077
-110.98,23.067
-110.958,23.093
-111.108,22.968
-106.084,21.874
-111.119,23.268
-109.254,24.418
-109.254,24.418
-111.534,23.459
-111.051,23.089
-111.302,22.963
-113.578,23.293
-111.112,22.603
-110.344,22.435
-109.727,22.155
-109.246,22.051
-108.826,21.913
-108.021,21.584
-107.239,20.651
-106.783,19.995
-106.607,19.012
-106.157,17.687
-105.735,17.619
-105.226,17.213
-105.752,16.182
-102.853,15.496
-100.808,14.993
-99.961,14.632
-99.071,14.245
-99.166,14.283
-99.435,13.363
-98.194,13.028
-98.508,13.008
-98.722,12.941
-108.225,15.213
-98.718,12.964
-98.641,12.809
-98.653,12.988
-98.634,12.685
-99.071,12.658
-98.443,12.189
-98.187,11.795
-98.117,11.769
-97.992,11.568
-98.213,10.996
-97.639,12.085
-97.123,11.366
-97.584,10.49
-97.044,10.954
-123.126,37.56
-122.837,38.218
-122.048,37.138
-122.824,37.498
-111.724,22.843
-98.497,12.093
-98.284,10.472
-97.764,9.917
-97.435,8.83
-97.209,8.953
-97.019,9.28
-97.466,9.079
-96.02,9.08
-96.038,9.045
-95.51,8.564
-94.613,8.832
-94.734,8.651
-94.245,9.123
-94.142,8.963
-94.325,9.247
-94.388,9.003
-94.255,9.056
-94.205,9.053
-95.488,7.842
-95.488,7.842
-95.221,7.773
-94.453,8.664
-95.145,8.029
-95.155,7.904
-95.115,7.884
-96.306,7
-95.47,7.848
-95.674,8.371
-95.883,8.322
-96.031,8.565
-95.653,9.134
-95.217,8.314
-95.675,8.306
-95.791,8.509
-96.31,8.382
-95.896,8.341
-95.833,8.606
-96.264,8.56
-96.337,8.453
-96.438,8.381
-96.137,8.63
-96.628,8.341
-96.627,8.376
-95.869,8.438
-97.168,8.112
-96.901,8.12
-96.989,8.334
-96.65,8.276
-97.333,8.288
-97.181,8.123
-97.343,8.391
-97.358,8.337
-97.322,8.312
-98.708,8.777
-97.113,8.444
-97.448,8.066
-99.391,7.018
-97.712,7.771
-97.549,7.51
-97.801,7.63
-97.844,7.517
-97.971,7.636
-97.657,7.546
-98.163,8.449
-97.596,7.562
-96.963,7.694
-92.969,4.606
-96.716,7.371
-97.181,6.98
-97.112,7.028
-97.358,7.24
-96.961,7.089
-96.921,7.196
-96.591,7.175
-96.736,7.664
-97.144,7.894
-97.216,8.056
-97.436,8.243
-97.512,7.843
-97.245,8.018
-97.458,8.21
-97.799,8.61
-97.976,8.563
-97.858,8.863
-98.023,8.574
-97.927,9.149
-98.186,9.307
-97.958,9.084
-98.094,9.136
-97.854,8.007
-97.993,7.914
-97.236,10.107
-96.116,9.218
-96.424,9.307
-96.625,9.554
-96.116,9.557
-96.187,9.549
-97.205,8.526
-94.173,10.484
-94.066,9.922
-94.066,9.625
-98.657,8.112
-93.634,7.809
-92.474,8.51
-92.106,8.851
-94.786,10.425
-94.51,10.192
-93.723,10.762
-93.973,8.352
-91.415,10.255
-93.278,8.814
-93.348,9.123
-93.514,8.813
-93.95,8.752
-93.57,7.799
-93.704,7.991
-94.45,8.279
-93.99,8.144
-94.779,8.224
-93.99,10.229
-94.439,8.336
-94.511,8.457
-95.038,7.642
-96.507,8.141
-96.717,10.322
-97.493,11.213
-97.76,11.731
-97.998,12.256
-98.732,12.774
-99.735,13.512
-102.795,15.744
-109.702,22.2
-111.816,23.75
-116.154,29.024
-121.064,34.298
-120.861,34.338
-122.852,37.72
-123.333,37.151
-122.917,37.782
-122.857,37.707
-123.001,36.718
-121.733,37.094
-123.908,36.384
-118.708,36.331
-122.531,37.341
-113.873,39.326
-123.669,38.709
-123.32,38.56
-123.649,38.654
-123.783,38.517
-124.036,39.016
-123.344,38.224
-123.058,37.973
-123.126,38.132
-123.604,38.605
-123.778,38.274
-123.692,38.558
-123.53,38.441
-123.393,38.559
-123.484,38.378
-123.583,38.668
-123.167,38.04
-123.278,38.142
-123.104,38.169
-123.291,38.068
-123.66,37.787
-122.992,37.691
-123.06,37.749
-123.47,37.723
-124.962,38.112
-123.768,37.635
-123.133,37.666
-122.993,37.614
-123.163,37.555
-122.841,37.579
-123.084,37.523
